id,reference,species,group,guild,biome,distance,human_dens,body_mass,treatment_n,control_n,treatment_mean,control_mean,treatment_sd,control_sd,rr,var
384,"Demmer et al., 2002",Ara ambiguus,Birds,Frug,Tropical forest,1.93,0.29,1.3,3,3,2.333,0.333,2.082,0.577,1.946,1.266
385,"Demmer et al., 2002",Ara macao,Birds,Omn,Tropical forest,0.68,0.29,1.02,3,3,3.333,4.667,2.082,3.512,-0.335,0.319
386,"Demmer et al., 2002",Ara macao,Birds,Omn,Tropical forest,1.93,0.29,1.02,3,3,4.333,4.667,3.512,3.512,-0.073,0.408
387,"Demmer et al., 2002",Aratinga spp,Birds,Frug,Tropical forest,0.68,0.29,0.14,3,3,1.667,2.667,1.528,0.577,-0.468,0.296
388,"Demmer et al., 2002",Aratinga spp,Birds,Frug,Tropical forest,1.93,0.29,0.14,3,3,2.333,2.667,3.215,0.577,-0.132,0.648
389,"Demmer et al., 2002",Claravis mondetoura and C. pretiosa,Birds,Frug,Tropical forest,0.68,0.29,0.08,3,3,9.667,3.667,9.866,2.517,0.97,0.504
390,"Demmer et al., 2002",Claravis mondetoura and C. pretiosa,Birds,Frug,Tropical forest,1.93,0.29,0.08,3,3,7.333,3.667,5.132,2.517,0.694,0.32
391,"Demmer et al., 2002",Crax rubra,Birds,Frug,Tropical forest,0.68,0.29,4.13,3,3,0.667,5.667,1.155,9.815,-2.129,2
392,"Demmer et al., 2002",Crax rubra,Birds,Frug,Tropical forest,1.93,0.29,4.13,3,3,5,5.667,4,9.815,-0.124,1.213
393,"Demmer et al., 2002",Odontophorus spp,Birds,Frug,Tropical forest,0.68,0.29,0.32,3,3,1,1,1,1.732,0.001,1.333
394,"Demmer et al., 2002",Odontophorus spp,Birds,Frug,Tropical forest,1.93,0.29,0.32,3,3,2.333,1,2.517,1.732,0.848,1.388
395,"Demmer et al., 2002",Ortalis vetula,Birds,Frug,Tropical forest,0.68,0.29,0.56,3,3,0.333,0.333,0.577,0.577,0.001,2.001
396,"Demmer et al., 2002",Ortalis vetula,Birds,Frug,Tropical forest,1.93,0.29,0.56,3,3,0.667,0.333,1.155,0.577,0.694,2
397,"Demmer et al., 2002",Penelope purpurascens aequatorialis,Birds,Frug,Tropical forest,0.68,0.29,2.06,3,3,2.667,12.667,2.082,5.132,-1.552,0.258
398,"Demmer et al., 2002",Penelope purpurascens aequatorialis,Birds,Frug,Tropical forest,1.93,0.29,2.06,3,3,12.333,12.667,9.452,5.132,-0.025,0.25
399,"Demmer et al., 2002",Pteroglossus torquatus,Birds,Frug,Tropical forest,0.68,0.29,0.22,3,3,1,1,1,1.732,0.001,1.333
400,"Demmer et al., 2002",Pteroglossus torquatus,Birds,Frug,Tropical forest,1.93,0.29,0.22,3,3,0.667,1,0.577,1.732,-0.403,1.25
401,"Demmer et al., 2002",Ramphastos ambiguus swainsonii,Birds,Frug,Tropical forest,0.68,0.29,0.65,3,3,3.667,7.667,2.082,4.163,-0.735,0.206
402,"Demmer et al., 2002",Ramphastos ambiguus swainsonii,Birds,Frug,Tropical forest,1.93,0.29,0.65,3,3,5,7.667,6.245,4.163,-0.425,0.618
403,"Demmer et al., 2002",Ramphastos sulfuratus,Birds,Frug,Tropical forest,1.93,0.29,0.41,3,3,1,0.333,1,0.577,1.099,1.334
404,"Demmer et al., 2002",Tinamus major,Birds,Frug,Tropical forest,0.68,0.29,1.03,3,3,15,10.333,5.292,9.074,0.374,0.299
405,"Demmer et al., 2002",Tinamus major,Birds,Frug,Tropical forest,1.93,0.29,1.03,3,3,8,10.333,7,9.074,-0.254,0.512
406,"Demmer et al., 2002",Alouatta palliata,Mammals,Herb,Tropical forest,0.68,0.29,7.27,3,3,5.667,5,8.963,5,0.125,1.167
407,"Demmer et al., 2002",Alouatta palliata,Mammals,Herb,Tropical forest,1.93,0.29,7.27,3,3,3,5,5.196,5,-0.51,1.333
408,"Demmer et al., 2002",Ateles geoffroyi,Mammals,Frug,Tropical forest,1.93,0.29,5.28,3,3,0.667,2,0.577,2.646,-1.098,0.833
409,"Demmer et al., 2002",Dasyprocta punctata,Mammals,Omn,Tropical forest,0.68,0.29,2.67,3,3,0.667,1.333,0.577,1.528,-0.693,0.688
410,"Demmer et al., 2002",Dasyprocta punctata,Mammals,Omn,Tropical forest,1.93,0.29,2.67,3,3,1,1.333,1,1.528,-0.287,0.771
411,"Demmer et al., 2002",Mazama gouazoubira,Mammals,Omn,Tropical forest,0.68,0.29,16.63,3,3,0.333,0.333,0.577,0.577,0,2.001
412,"Demmer et al., 2002",Mazama gouazoubira,Mammals,Omn,Tropical forest,1.93,0.29,16.63,3,3,0.333,0.333,0.577,0.577,0,2.001
413,"Demmer et al., 2002",Nasua narica,Mammals,Frug,Tropical forest,1.93,0.29,4.03,3,3,0.333,1,0.577,1,-1.098,1.334
414,"Demmer et al., 2002",Pecari tajacu,Mammals,Herb,Tropical forest,0.68,0.29,21.27,3,3,4.333,7.667,4.933,4.619,-0.57,0.553
415,"Demmer et al., 2002",Pecari tajacu,Mammals,Herb,Tropical forest,1.93,0.29,21.27,3,3,1,7.667,1,4.619,-2.035,0.454
416,"Demmer et al., 2002",Sciurus spp,Mammals,Frug,Tropical forest,0.68,0.29,0.6,3,3,3.667,0.667,5.508,0.577,1.705,1.002
417,"Demmer et al., 2002",Sciurus spp,Mammals,Frug,Tropical forest,1.93,0.29,0.6,3,3,0.333,0.667,0.577,0.577,-0.693,1.25
418,"Demmer et al., 2002",Tapirus bairdii,Mammals,Herb,Tropical forest,0.68,0.29,300,3,3,0.333,0.333,0.577,0.577,0,2.001
419,"Demmer et al., 2002",Amazona ochrocephala,Birds,Frug,Tropical forest,0.68,0.37,0.48,3,3,3.667,4,2.309,6.928,-0.086,1.132
420,"Demmer et al., 2002",Amazona ochrocephala,Birds,Frug,Tropical forest,1.93,0.37,0.48,3,3,2.667,4,3.055,6.928,-0.404,1.438
421,"Demmer et al., 2002",Ara macao,Birds,Omn,Tropical forest,0.68,0.37,1.02,3,3,1,1.333,1,1.155,-0.286,0.583
422,"Demmer et al., 2002",Ara macao,Birds,Omn,Tropical forest,1.93,0.37,1.02,3,3,0.333,1.333,0.577,1.155,-1.381,1.25
423,"Demmer et al., 2002",Columbina passerina,Birds,Frug,Tropical forest,0.68,0.37,0.04,3,3,0.667,0.667,0.577,1.155,0.001,1.25
424,"Demmer et al., 2002",Columbina passerina,Birds,Frug,Tropical forest,1.93,0.37,0.04,3,3,1.667,0.667,2.887,1.155,0.917,2
425,"Demmer et al., 2002",Crax rubra,Birds,Frug,Tropical forest,0.68,0.37,4.13,3,3,0.667,0.333,1.155,0.577,0.694,2
426,"Demmer et al., 2002",Crax rubra,Birds,Frug,Tropical forest,1.93,0.37,4.13,3,3,1,0.333,1.732,0.577,1.099,2
427,"Demmer et al., 2002",Penelope purpurascens aequatorialis,Birds,Frug,Tropical forest,0.68,0.37,2.06,3,3,1.333,2,2.309,1.732,-0.404,1.25
428,"Demmer et al., 2002",Penelope purpurascens aequatorialis,Birds,Frug,Tropical forest,1.93,0.37,2.06,3,3,2.333,2,2.082,1.732,0.155,0.515
429,"Demmer et al., 2002",Pionus senilis,Birds,Frug,Tropical forest,1.93,0.37,0.21,3,3,1.333,1,0.577,1,0.289,0.396
430,"Demmer et al., 2002",Ramphastos ambiguus swainsonii,Birds,Frug,Tropical forest,0.68,0.37,0.65,3,3,2.5,2,2.121,2,0.224,0.573
431,"Demmer et al., 2002",Ramphastos ambiguus swainsonii,Birds,Frug,Tropical forest,1.93,0.37,0.65,3,3,1.333,2,0.577,2,-0.404,0.396
432,"Demmer et al., 2002",Ramphastos sulfuratus,Birds,Frug,Tropical forest,0.68,0.37,0.41,3,3,3.667,2.667,3.786,2.082,0.319,0.558
433,"Demmer et al., 2002",Ramphastos sulfuratus,Birds,Frug,Tropical forest,1.93,0.37,0.41,3,3,2,2.667,1,2.082,-0.286,0.286
434,"Demmer et al., 2002",Tinamus major,Birds,Frug,Tropical forest,0.68,0.37,1.03,3,3,5.667,11,2.517,8.888,-0.661,0.283
435,"Demmer et al., 2002",Tinamus major,Birds,Frug,Tropical forest,1.93,0.37,1.03,3,3,6.333,11,5.033,8.888,-0.55,0.428
436,"Demmer et al., 2002",Alouatta palliata,Mammals,Herb,Tropical forest,1.93,0.37,7.27,3,3,2.333,1,4.042,1.732,0.847,2
437,"Demmer et al., 2002",Cebus capuchinus,Mammals,Omn,Tropical forest,1.93,0.37,2.73,3,3,0.333,1.333,0.577,2.309,-1.385,2
438,"Demmer et al., 2002",Dasyprocta punctata,Mammals,Omn,Tropical forest,0.68,0.37,2.67,3,3,2,2,2.646,2.646,0,1.167
439,"Demmer et al., 2002",Dasyprocta punctata,Mammals,Omn,Tropical forest,1.93,0.37,2.67,3,3,1.333,2,1.155,2.646,-0.405,0.833
440,"Demmer et al., 2002",Nasua narica,Mammals,Frug,Tropical forest,0.68,0.37,4.03,3,3,1.333,1,2.309,1,0.288,1.333
441,"Demmer et al., 2002",Nasua narica,Mammals,Frug,Tropical forest,1.93,0.37,4.03,3,3,1,1,1.732,1,0,1.333
442,"Demmer et al., 2002",Pecari tajacu,Mammals,Herb,Tropical forest,0.68,0.37,21.27,3,3,2.333,1.333,1.155,1.155,0.56,0.332
443,"Demmer et al., 2002",Pecari tajacu,Mammals,Herb,Tropical forest,1.93,0.37,21.27,3,3,0.333,1.333,0.577,1.155,-1.385,1.25
444,"Demmer et al., 2002",Tapirus bairdii,Mammals,Herb,Tropical forest,0.68,0.37,300,3,3,0.333,0.667,0.577,1.155,-0.693,2
445,"Derby, 2008",Alouatta seniculus,Mammals,Herb,Tropical forest,1,4.88,6.15,1,1,5,11.45,2.236,3.384,-0.828,0.287
446,"Derby, 2008",Ateles belzebuth,Mammals,Frug,Tropical forest,1,4.88,5,1,1,6.75,7.81,2.598,2.795,-0.146,0.276
447,"Derby, 2008",Callicebus discolor,Mammals,Omn,Tropical forest,1,4.88,1.01,1,1,9.69,10.8,3.113,3.286,-0.108,0.196
448,"Derby, 2008",Cebus albifrons,Mammals,Omn,Tropical forest,1,4.88,2.63,1,1,7.97,7.29,2.823,2.7,0.089,0.263
449,"Derby, 2008",Lagothrix poeppigii,Mammals,Frug,Tropical forest,1,4.88,7.1,1,1,20.4,31.8,4.517,5.639,-0.444,0.08
450,"Derby, 2008",Saguinus tripartitus,Mammals,Omn,Tropical forest,1,4.88,0.39,1,1,18.75,26.6,4.33,5.158,-0.349,0.091
451,"Derby, 2008",Saimiri sciureus,Mammals,Omn,Tropical forest,1,4.88,0.74,1,1,32.75,31.25,5.723,5.59,0.047,0.063
452,"Dethier, 1995",Cephalophus callipygus,Mammals,Herb,Tropical forest,7.5,4.51,18.25,6,6,1.6,2.5,1.265,1.581,-0.446,0.171
453,"Dethier, 1995",Cephalophus callipygus,Mammals,Herb,Tropical forest,12.5,4.51,18.25,6,6,3.2,2.5,1.789,1.581,0.247,0.119
454,"Dethier, 1995",Cephalophus dorsalis,Mammals,Herb,Tropical forest,2.5,4.51,20,6,6,0.1,0.6,0.316,0.775,-1.79,1.944
455,"Dethier, 1995",Cephalophus leucogaster,Mammals,Herb,Tropical forest,7.5,4.51,12.7,6,6,0.2,0.2,0.447,0.447,0,1.667
456,"Dethier, 1995",Cephalophus nigrifons,Mammals,Herb,Tropical forest,2.5,4.51,13.9,6,6,0.2,0.4,0.447,0.633,-0.693,1.25
457,"Dethier, 1995",Cephalophus nigrifons,Mammals,Herb,Tropical forest,7.5,4.51,13.9,6,6,0.2,0.4,0.447,0.633,-0.693,1.25
458,"Dethier, 1995",Philantomba monticola,Mammals,Frug,Tropical forest,2.5,4.51,4.9,6,6,2.3,2.2,1.517,1.483,0.045,0.148
459,"Dethier, 1995",Philantomba monticola,Mammals,Frug,Tropical forest,7.5,4.51,4.9,6,6,2.3,2.2,1.517,1.483,0.045,0.148
460,"Dethier, 1995",Philantomba monticola,Mammals,Frug,Tropical forest,12.5,4.51,4.9,6,6,1.2,2.2,1.095,1.483,-0.606,0.215
461,"Doherty, 2005",Cuniculus paca,Mammals,Omn,Tropical forest,1.05,3.96,8.17,1,1,166.39,16.22,12.899,4.027,2.328,0.068
462,"Doherty, 2005",Dasyprocta punctata,Mammals,Omn,Tropical forest,1.05,3.96,2.67,1,1,507.79,5.22,22.534,2.285,4.578,0.194
463,"Doherty, 2005",Didelphis spp.,Mammals,Carn,Tropical forest,1.05,3.96,1.43,1,1,29.966,5.223,5.474,2.285,1.747,0.225
464,"Doherty, 2005",Eira barbara,Mammals,Carn,Tropical forest,1.05,3.96,3.91,1,1,2.749,5.498,1.658,2.345,-0.693,0.546
465,"Doherty, 2005",Leopardus wiedii,Mammals,Carn,Tropical forest,1.05,3.96,3.25,1,1,5.223,2.749,2.285,1.658,0.642,0.555
466,"Doherty, 2005",Mazama americana,Mammals,Herb,Tropical forest,1.05,3.96,22.8,1,1,32.715,16.22,5.72,4.027,0.702,0.092
467,"Doherty, 2005",Nasua narica,Mammals,Frug,Tropical forest,1.05,3.96,4.03,1,1,2.749,37.663,1.658,6.137,-2.614,0.39
468,"Doherty, 2005",Pecari tajacu,Mammals,Herb,Tropical forest,1.05,3.96,21.27,1,1,16.22,13.471,4.027,3.67,0.186,0.136
469,"Doherty, 2005",Cuniculus paca,Mammals,Omn,Tropical forest,11.68,4.4,8.17,1,1,3.57,16.22,1.889,4.027,-1.513,0.342
470,"Doherty, 2005",Didelphis spp.,Mammals,Carn,Tropical forest,11.68,4.4,1.43,1,1,3.574,5.223,1.89,2.285,-0.379,0.471
471,"Doherty, 2005",Eira barbara,Mammals,Carn,Tropical forest,11.68,4.4,3.91,1,1,27.491,5.498,5.243,2.345,1.609,0.218
472,"Doherty, 2005",Mazama americana,Mammals,Herb,Tropical forest,11.68,4.4,22.8,1,1,0.275,16.22,0.524,4.027,-4.062,3.699
473,"Doherty, 2005",Nasua narica,Mammals,Frug,Tropical forest,11.68,4.4,4.03,1,1,79.175,37.663,8.898,6.137,0.743,0.039
474,"Doherty, 2005",Pecari tajacu,Mammals,Herb,Tropical forest,11.68,4.4,21.27,1,1,17.32,13.471,4.162,3.67,0.252,0.132
475,"Effiom et al., 2013","Philantomba monticola, Cephalophus spp. and Potamochoerus porcus",Mammals,Herb,Tropical forest,4.22,67.82,27.49,12,12,0.833,0.417,0.835,0.835,0.693,0.418
476,"Effiom et al., 2014",Anomalurus sp,Mammals,Omn,Tropical forest,4.22,67.82,0.76,12,12,3.2,0.5,1.789,0.707,1.856,0.193
477,"Effiom et al., 2014",Atherurus africanus,Mammals,Herb,Tropical forest,4.22,67.82,1.93,12,12,2.8,0.8,1.673,0.894,1.253,0.134
478,"Effiom et al., 2014",Cercopithecus mona,Mammals,Frug,Tropical forest,4.22,67.82,4.21,12,12,6.9,24.4,2.627,4.94,-1.262,0.015
479,"Effiom et al., 2014",Cercopithecus nictitans,Mammals,Frug,Tropical forest,4.22,67.82,5.8,12,12,7.5,26.3,2.739,5.128,-1.254,0.014
480,"Effiom et al., 2014",Mandrillus leucophaeus,Mammals,Frug,Tropical forest,4.22,67.82,15,12,12,1.9,15.4,1.378,3.924,-2.09,0.049
481,"Effiom et al., 2014",Procavia capensis,Mammals,Herb,Tropical forest,4.22,67.82,3.03,12,12,1.5,1.3,1.225,1.14,0.143,0.12
482,"Emmons, 1984",Aotus trivirgatus,Mammals,Omn,Tropical forest,5.9,1.37,0.9,1,1,0.7,1,0.837,1,-0.356,2.429
483,"Emmons, 1984",Bassaricyon medius,Mammals,Frug,Tropical forest,5.9,1.37,1.05,1,1,0.4,0.3,0.632,0.548,0.288,5.833
484,"Emmons, 1984",Bradypus variegatus,Mammals,Herb,Tropical forest,5.9,1.37,4.34,1,1,0.4,0.1,0.632,0.316,1.386,12.5
485,"Emmons, 1984",Callicebus spp,Mammals,Omn,Tropical forest,5.9,1.37,1.02,1,1,0.2,1.2,0.447,1.095,-1.79,5.833
486,"Emmons, 1984",Cuniculus paca,Mammals,Omn,Tropical forest,5.9,1.37,8.17,1,1,1.1,0.8,1.049,0.894,0.319,2.159
487,"Emmons, 1984",Dasypus novemcinctus,Mammals,Inver,Tropical forest,5.9,1.37,4.2,1,1,0.4,0.3,0.632,0.548,0.288,5.833
488,"Emmons, 1984",Marmosa demerarae,Mammals,Inver,Tropical forest,5.9,1.37,0.08,1,1,0.4,0.4,0.632,0.632,0,5
489,"Emmons, 1984",Marmosa spp,Mammals,Omn,Tropical forest,5.9,1.37,0.04,1,1,0.7,0.1,0.837,0.316,1.946,11.429
490,"Emmons, 1984",Marmosops noctivagus and M. parvidens,Mammals,Omn,Tropical forest,5.9,1.37,0.02,1,1,1,0.4,1,0.632,0.916,3.5
491,"Emmons, 1984",Mazama americana,Mammals,Herb,Tropical forest,5.9,1.37,22.8,1,1,0.4,0.2,0.632,0.447,0.693,7.5
492,"Emmons, 1984",Oryzomys spp.,Mammals,Omn,Tropical forest,5.9,1.37,0.06,1,1,1.8,1.4,1.342,1.183,0.252,1.27
493,"Emmons, 1984",Potos flavus or Bassaricyon spp,Mammals,Frug,Tropical forest,5.9,1.37,1.58,1,1,0.7,0.4,0.837,0.632,0.56,3.929
494,"Emmons, 1984",Proechimys spp,Mammals,Herb,Tropical forest,5.9,1.37,0.29,1,1,7,14.8,2.646,3.847,-0.748,0.21
495,"Emmons, 1984",Puma concolor,Mammals,Carn,Tropical forest,5.9,1.37,51.6,1,1,0.4,0.1,0.632,0.316,1.386,12.5
496,"Emmons, 1984",Saguinus spp,Mammals,Omn,Tropical forest,5.9,1.37,0.47,1,1,1.7,0.4,1.304,0.632,1.447,3.088
497,"Emmons, 1984",Saimiri spp,Mammals,Omn,Tropical forest,5.9,1.37,0.68,1,1,0.2,2.1,0.447,1.449,-2.349,5.476
498,"Emmons, 1984",Sapajus apella,Mammals,Omn,Tropical forest,5.9,1.37,2.5,1,1,0.4,1.9,0.632,1.378,-1.557,3.026
499,"Emmons, 1984",Sciurus spp,Mammals,Frug,Tropical forest,5.9,1.37,0.6,1,1,3.6,4.5,1.897,2.121,-0.223,0.5
500,Endo et al 2010,"Crypturellus atrocapillus, C. bartletti, C. cinereus, C.soui, C. strigulosus, C. undulatus and C. variegatus",Birds,Frug,Tropical forest,15,0.08,0.4,3,3,15.3,15.9,3.473,3.609,-0.037,0.034
501,Endo et al 2010,Mitu tuberosum,Birds,Frug,Tropical forest,15,0.08,2.77,3,3,7.89,8.9,1.633,1.629,-0.119,0.025
502,Endo et al 2010,Odontophorus gujanensis,Birds,Omn,Tropical forest,15,0.08,0.31,3,3,86.8,48.6,28.384,15.309,0.581,0.069
503,Endo et al 2010,Penelope jacquacu,Birds,Frug,Tropical forest,15,0.08,1.49,3,3,29.3,13.7,5.596,3.096,0.761,0.029
504,Endo et al 2010,Pipile cumanensis,Birds,Frug,Tropical forest,15,0.08,1.24,3,3,1.07,1.55,0.816,0.825,-0.369,0.288
505,Endo et al 2010,Psophia leucoptera,Birds,Frug,Tropical forest,15,0.08,1.32,3,3,20.4,37.4,5.243,7.929,-0.604,0.037
506,Endo et al 2010,"Tinamus major, T. guttatus and T. tao",Birds,Frug,Tropical forest,15,0.08,1.11,3,3,26.9,7.32,6.886,2.386,1.302,0.057
507,Endo et al 2010,Alouatta sara,Mammals,Herb,Tropical forest,15,0.08,6.61,3,3,17,11.4,2.38,1.596,0.4,0.013
508,Endo et al 2010,Ateles chamek,Mammals,Frug,Tropical forest,15,0.08,6,3,3,49,41.7,1.519,1.293,0.162,0.001
509,Endo et al 2010,Callicebus brunneus,Mammals,Omn,Tropical forest,15,0.08,0.99,3,3,12.3,20.2,1.488,2.444,-0.496,0.01
510,Endo et al 2010,Cebus albifrons,Mammals,Omn,Tropical forest,15,0.08,2.63,3,3,7.4,10.1,0.429,0.586,-0.311,0.002
511,Endo et al 2010,Dasyprocta punctata,Mammals,Omn,Tropical forest,15,0.08,2.67,3,3,1.72,1.88,0.884,0.799,-0.089,0.148
512,Endo et al 2010,Lagothrix cana,Mammals,Frug,Tropical forest,15,0.08,6.4,3,3,34.1,39.1,1.432,1.642,-0.137,0.001
513,Endo et al 2010,Mazama americana and M. gouazoubira,Mammals,Herb,Tropical forest,15,0.08,18.59,3,3,4.68,1.45,1.741,0.69,1.172,0.122
514,Endo et al 2010,Myoprocta pratti,Mammals,Omn,Tropical forest,15,0.08,0.97,3,3,1.65,0.53,1.091,0.557,1.136,0.513
515,Endo et al 2010,Pecari tajacu,Mammals,Herb,Tropical forest,15,0.08,21.27,3,3,5.8,5.17,2.749,2.259,0.115,0.139
516,Endo et al 2010,Saguinus fuscicollis,Mammals,Omn,Tropical forest,15,0.08,0.39,3,3,43,53.3,2.58,3.198,-0.214,0.002
517,Endo et al 2010,Saimiri boliviensis,Mammals,Omn,Tropical forest,15,0.08,0.62,3,3,15.8,29.3,2.923,5.421,-0.617,0.023
518,Endo et al 2010,Sapajus apella,Mammals,Omn,Tropical forest,15,0.08,2.5,3,3,17.1,30.1,1.009,1.776,-0.565,0.002
519,Endo et al 2010,Sciurus spadiceus and S.sanborni.,Mammals,Frug,Tropical forest,15,0.08,0.27,3,3,14.8,16.4,4.218,4.789,-0.102,0.055
520,Endo et al 2010,Tayassu pecari,Mammals,Frug,Tropical forest,15,0.08,32.23,3,3,32.4,21.7,7.322,6.532,0.401,0.047
521,Endo et al 2010,"Crypturellus atrocapillus, C. bartletti, C. cinereus, C.soui, C. strigulosus, C. undulatus and C. variegatus",Birds,Frug,Tropical forest,2.7,0.08,0.4,3,3,12.8,15.9,3.226,3.609,-0.215,0.038
522,Endo et al 2010,"Crypturellus atrocapillus, C. bartletti, C. cinereus, C.soui, C. strigulosus, C. undulatus and C. variegatus",Birds,Frug,Tropical forest,30,0.08,0.4,3,3,16.1,4.54,3.473,3.609,1.266,0.226
523,Endo et al 2010,"Crypturellus atrocapillus, C. bartletti, C. cinereus, C.soui, C. strigulosus, C. undulatus and C. variegatus",Birds,Frug,Tropical forest,2.7,0.08,0.4,3,3,17.7,29.3,3.558,5.421,-0.502,0.025
524,Endo et al 2010,Mitu tuberosum,Birds,Frug,Tropical forest,2.7,0.08,2.77,3,3,2.12,8.9,0.963,1.629,-1.429,0.08
525,Endo et al 2010,Mitu tuberosum,Birds,Frug,Tropical forest,30,0.08,2.77,3,3,5.9,1.54,1.633,1.629,1.344,0.398
526,Endo et al 2010,Mitu tuberosum,Birds,Frug,Tropical forest,2.7,0.08,2.77,3,3,0.62,20.2,0.62,2.444,-3.442,0.338
527,Endo et al 2010,Odontophorus gujanensis,Birds,Omn,Tropical forest,2.7,0.08,0.31,3,3,69.1,48.6,18.104,15.309,0.353,0.056
528,Endo et al 2010,Odontophorus gujanensis,Birds,Omn,Tropical forest,30,0.08,0.31,3,3,50.2,18.825,28.384,15.309,0.981,0.327
529,Endo et al 2010,Odontophorus gujanensis,Birds,Omn,Tropical forest,2.7,0.08,0.31,3,3,89.3,30.1,22.504,1.776,1.088,0.022
530,Endo et al 2010,Penelope jacquacu,Birds,Frug,Tropical forest,2.7,0.08,1.49,3,3,12.6,13.7,3.377,3.096,-0.082,0.041
531,Endo et al 2010,Penelope jacquacu,Birds,Frug,Tropical forest,30,0.08,1.49,3,3,20.2,4.828,5.596,3.096,1.432,0.163
532,Endo et al 2010,Penelope jacquacu,Birds,Frug,Tropical forest,2.7,0.08,1.49,3,3,34.7,10.1,7.842,0.586,1.235,0.018
533,Endo et al 2010,Pipile cumanensis,Birds,Frug,Tropical forest,2.7,0.08,1.24,3,3,1.55,1.55,1,0.825,0.001,0.233
534,Endo et al 2010,Pipile cumanensis,Birds,Frug,Tropical forest,30,0.08,1.24,3,3,0.53,0.551,0.816,0.825,-0.038,1.537
535,Endo et al 2010,Psophia leucoptera,Birds,Frug,Tropical forest,2.7,0.08,1.32,3,3,13.7,37.4,6.288,7.929,-1.001,0.085
536,Endo et al 2010,Psophia leucoptera,Birds,Frug,Tropical forest,30,0.08,1.32,3,3,52.7,11.172,5.243,7.929,1.551,0.171
537,Endo et al 2010,Psophia leucoptera,Birds,Frug,Tropical forest,2.7,0.08,1.32,3,3,5.42,39.1,2.282,1.642,-1.967,0.06
538,Endo et al 2010,"Tinamus major, T. guttatus and T. tao",Birds,Frug,Tropical forest,2.7,0.08,1.11,3,3,8.27,7.32,2.249,2.386,0.123,0.06
539,Endo et al 2010,"Tinamus major, T. guttatus and T. tao",Birds,Frug,Tropical forest,30,0.08,1.11,3,3,6.46,2.423,6.886,2.386,0.981,0.702
540,Endo et al 2010,"Tinamus major, T. guttatus and T. tao",Birds,Frug,Tropical forest,2.7,0.08,1.11,3,3,5.52,53.3,1.733,3.198,-2.255,0.034
541,Endo et al 2010,Alouatta sara,Mammals,Herb,Tropical forest,2.7,0.08,6.61,3,3,8.3,11.4,1.162,1.596,-0.317,0.013
542,Endo et al 2010,Alouatta sara,Mammals,Herb,Tropical forest,30,0.08,6.61,3,3,12.2,11.4,1.708,1.596,0.068,0.013
543,Endo et al 2010,Alouatta sara,Mammals,Herb,Tropical forest,2.7,0.08,6.61,3,3,0.7,11.4,0.098,1.596,-2.786,0.013
544,Endo et al 2010,Ateles chamek,Mammals,Frug,Tropical forest,2.7,0.08,6,3,3,7.8,41.7,0.242,1.293,-1.675,0.001
545,Endo et al 2010,Ateles chamek,Mammals,Frug,Tropical forest,30,0.08,6,3,3,45.9,41.7,1.423,1.293,0.096,0.001
546,Endo et al 2010,Ateles chamek,Mammals,Frug,Tropical forest,2.7,0.08,6,3,3,2.3,41.7,0.071,1.293,-2.893,0.001
547,Endo et al 2010,Callicebus brunneus,Mammals,Omn,Tropical forest,2.7,0.08,0.99,3,3,5.2,20.2,0.629,2.444,-1.356,0.01
548,Endo et al 2010,Callicebus brunneus,Mammals,Omn,Tropical forest,30,0.08,0.99,3,3,18.6,20.2,2.251,2.444,-0.082,0.01
549,Endo et al 2010,Cebus albifrons,Mammals,Omn,Tropical forest,2.7,0.08,2.63,3,3,2.5,10.1,0.145,0.586,-1.395,0.002
550,Endo et al 2010,Cebus albifrons,Mammals,Omn,Tropical forest,30,0.08,2.63,3,3,11.9,10.1,0.69,0.586,0.164,0.002
551,Endo et al 2010,Cebus albifrons,Mammals,Omn,Tropical forest,2.7,0.08,2.63,3,3,1.8,10.1,0.104,0.586,-1.723,0.002
552,Endo et al 2010,Dasyprocta punctata,Mammals,Omn,Tropical forest,2.7,0.08,2.67,3,3,1.64,1.88,0.612,0.799,-0.136,0.107
553,Endo et al 2010,Dasyprocta punctata,Mammals,Omn,Tropical forest,30,0.08,2.67,3,3,0.99,1.88,0.509,0.799,-0.641,0.148
554,Endo et al 2010,Lagothrix cana,Mammals,Frug,Tropical forest,2.7,0.08,6.4,3,3,9.7,39.1,0.407,1.642,-1.393,0.001
555,Endo et al 2010,Lagothrix cana,Mammals,Frug,Tropical forest,30,0.08,6.4,3,3,13.2,39.1,0.554,1.642,-1.085,0.001
556,Endo et al 2010,Lagothrix cana,Mammals,Frug,Tropical forest,2.7,0.08,6.4,3,3,7.6,39.1,0.319,1.642,-1.637,0.001
557,Endo et al 2010,Mazama americana and M. gouazoubira,Mammals,Herb,Tropical forest,2.7,0.08,18.59,3,3,2.7,1.45,1.42,0.69,0.622,0.168
558,Endo et al 2010,Mazama americana and M. gouazoubira,Mammals,Herb,Tropical forest,30,0.08,18.59,3,3,3.21,1.45,1.528,0.69,0.795,0.151
559,Endo et al 2010,Mazama americana and M. gouazoubira,Mammals,Herb,Tropical forest,2.7,0.08,18.59,3,3,1,1.45,0.726,0.69,-0.371,0.251
560,Endo et al 2010,Myoprocta pratti,Mammals,Omn,Tropical forest,2.7,0.08,0.97,3,3,0.53,0.53,0.557,0.557,0,0.735
