Reference,Study,Group,Common_nam,SpID,Species,Order,BM,Guild,Type_hunting,Region,Country,Longitude,Latitude,Protected_Area,Access_point,N_hunted,N_control,Abund_hunted,Abund_control,SD_hunted,SD_control,unit,Distance_Km,RR,SamplingVar,Biome,HumanPopDens,TravelTime
"Peres and Lake, 2003",9,Mammals,Coppery and Red-bellied Titi Monkeys,24,Callicebus cupreus and C. moloch,Primates,1.1,Omn,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.668,0.076,0.817,0.276,n groups/10 km,3.75,2.174,0.326,Tropical forest,0.24,2389
"Peres and Lake, 2003",9,Mammals,Humboldt's Woolly Monkey,90,Lagothrix lagotricha,Primates,6.3,Frug,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.667,0.71,0.817,0.843,n groups/10 km,2.75,-0.063,0.065,Tropical forest,0.24,2389
"De Andrade Melo et al., 2015",74,Mammals,Black spider monkey,17,Ateles paniscus,Primates,7.9,Frug,S,S America,Brazil,-60.356,1.29,No,Settlement,31,28,0.67,1.08,0.819,1.039,n/10 km,2.7,-0.477,0.081,Camparina Forest,0.31,580
"Thoisy et al., 2005",120,Mammals,Black spider monkey,17,Ateles paniscus,Primates,7.9,Frug,SC,S America,French Guiana,-52.038,4.216,No,Settlement,20,22,0.67,0.39,0.819,0.625,n/km,2.5,0.541,0.191,Tropical forest,0.08,1732
"Cullen Jr. et al., 2000; 2001",117,Mammals,South American Coati,111,Nasua nasua,Carnivores,3.79,Frug,S,S America,Brazil,-49.894,-22.841,No,Settlement,6,6,0.679,0.279,0.82,0.22,n/10 km,2.5,0.89,0.347,Atlantic deciduous forest,31.98,12
"Peres and Lake, 2003",9,Mammals,Howler monkeys,6,Alouatta spp,Primates,6.5,Herb,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.681,0.217,0.825,0.466,n groups/10 km,1.75,1.144,0.135,Tropical forest,0.24,2389
"Wright et al., 2000",100,Mammals,Black-eared Opossum,243,Didelphis marsupialis,Didelphimorphia,1.09,Carn,SC,C America,Panama,-79.702,9.101,No,Settlement,15,17,0.684,0.478,0.827,0.691,n/100 trap nights,1.7,0.359,0.22,Tropical forest,611.17,38
"Hill et al., 1997",3,Mammals,Nine-banded Armadillo,75,Dasypus novemcinctus,Cingulata,4.2,Inver,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,454,6132,0.685,0.748,0.828,0.865,n/200m,1.6,-0.088,0.003,Tropical forest,8.67,1270
"Wright et al., 2000",100,Mammals,Red brocket deer and white-tailed deer,279,Mazama americana and Odocoileus virginianus,Cetartiodactyla,39.15,Herb,SC,C America,Panama,-79.65,9.09,Yes,Settlement,17,17,0.694,2.41,0.833,1.553,n/km,5,-1.245,0.109,Tropical forest,680.09,26
"Cabassu, 2010",56,Mammals,White-nosed Coati,110,Nasua narica,Carnivores,4.03,Frug,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0.696,0.152,0.835,0.389,n/km,1,1.525,0.805,Tropical forest,0.73,1485
"Effiom et al., 2013",154,Mammals,"Blue duiker, red duikers and red river hog",359,"Philantomba monticola, Cephalophus spp. and Potamochoerus porcus",Cetartiodactyla,27.49,Herb,SC,Africa,Nigeria,9.07527936,6.258750457,Yes,Settlement,12,12,0.833,0.417,0.835,0.835,groups/km,4.22,0.693,0.418,Tropical forest,67.82,605.7
"Cronin, 2013",65,Mammals,Red-eared Monkey,47,Cercopithecus erythrotis,Primates,3.92,Frug,SC,Africa,Equatorial Guinea,8.486,3.258,Yes,Settlement,21,12,0.7,0.97,0.837,0.985,primate groups/km,0.1,-0.326,0.154,Tropical forest,7.84,314
"Cronin, 2013",65,Mammals,Red-eared Monkey,47,Cercopithecus erythrotis,Primates,3.92,Frug,SC,Africa,Equatorial Guinea,8.486,3.258,Yes,Settlement,20,12,0.42,0.97,0.837,0.985,primate groups/km,2,-0.836,0.284,Tropical forest,7.84,314
"Cronin, 2013",65,Mammals,Crowned monkey,49,Cercopithecus pogonias,Primates,3.76,Frug,SC,Africa,Equatorial Guinea,8.486,3.258,Yes,Settlement,21,12,0.7,0.24,0.837,0.49,primate groups/km,0.1,1.071,0.415,Tropical forest,7.84,314
"Cronin, 2013",65,Mammals,Crowned monkey,49,Cercopithecus pogonias,Primates,3.76,Frug,SC,Africa,Equatorial Guinea,8.486,3.258,Yes,Settlement,20,12,0.67,0.24,0.837,0.49,primate groups/km,2,1.027,0.425,Tropical forest,7.84,314
"De Andrade Melo et al., 2015",74,Mammals,Common Squirrel Monkey,170,Saimiri sciureus,Primates,0.74,Omn,S,S America,Brazil,-60.356,1.29,No,Settlement,31,28,0.7,8.69,0.837,2.948,n/10 km,2.7,-2.516,0.05,Camparina Forest,0.31,580
"Emmons, 1984",152,Mammals,Northern night monkey,213,Aotus trivirgatus,Primates,0.9,Omn,S,S America,Peru,-69.716667,-12.816667,No,Road & Settlement,1,1,0.7,1,0.837,1,n/10 km,5.9,-0.356,2.429,Tropical forest,1.37,424
"Emmons, 1984",152,Mammals,Opossum,355,Marmosa spp,Didelphimorphia,0.04,Omn,S,S America,Peru,-69.716667,-12.816667,No,Road & Settlement,1,1,0.7,0.1,0.837,0.316,n/10 km,5.9,1.946,11.429,Tropical forest,1.37,424
"Emmons, 1984",152,Mammals,Kinkajou or Oligo,360,Potos flavus or Bassaricyon spp,Carnivores,1.58,Frug,S,S America,Peru,-69.716667,-12.816667,No,Road & Settlement,1,1,0.7,0.4,0.837,0.632,n/10 km,5.9,0.56,3.929,Tropical forest,1.37,424
