Reference,Study,Group,Common_nam,SpID,Species,Order,BM,Guild,Type_hunting,Region,Country,Longitude,Latitude,Protected_Area,Access_point,N_hunted,N_control,Abund_hunted,Abund_control,SD_hunted,SD_control,unit,Distance_Km,RR,SamplingVar,Biome,HumanPopDens,TravelTime
"Vinitpornsawan, 2013",47,Mammals,Gaur,20,Bos gaurus,Cetartiodactyla,825,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.387,n 100-m segments with signs/km,1,-8.263,0.191,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Gaur,20,Bos gaurus,Cetartiodactyla,825,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.387,n 100-m segments with signs/km,2,-8.263,0.191,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Gaur,20,Bos gaurus,Cetartiodactyla,825,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.387,n 100-m segments with signs/km,3,-8.263,0.191,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Gaur,20,Bos gaurus,Cetartiodactyla,825,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.387,n 100-m segments with signs/km,4,-8.263,0.191,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Gaur,20,Bos gaurus,Cetartiodactyla,825,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.387,n 100-m segments with signs/km,5,-8.263,0.191,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Gaur,20,Bos gaurus,Cetartiodactyla,825,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.387,n 100-m segments with signs/km,6,-8.263,0.191,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Asian Elephant,77,Elephas maximus,Proboscidea,2915.04,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.29,n 100-m segments with signs/km,1,-8.263,0.172,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Asian Elephant,77,Elephas maximus,Proboscidea,2915.04,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.29,n 100-m segments with signs/km,2,-8.263,0.172,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Asian Elephant,77,Elephas maximus,Proboscidea,2915.04,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.29,n 100-m segments with signs/km,3,-8.263,0.172,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Asian Elephant,77,Elephas maximus,Proboscidea,2915.04,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.29,n 100-m segments with signs/km,4,-8.263,0.172,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Asian Elephant,77,Elephas maximus,Proboscidea,2915.04,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.29,n 100-m segments with signs/km,5,-8.263,0.172,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Asian Elephant,77,Elephas maximus,Proboscidea,2915.04,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.29,n 100-m segments with signs/km,6,-8.263,0.172,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Asian Elephant,77,Elephas maximus,Proboscidea,2915.04,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,0.43,0,0.29,n 100-m segments with signs/km,7,-8.263,0.172,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Leopard,123,Panthera pardus,Carnivores,52.04,Carn,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,99,99,0,0.7,0,2.09,n/100km2,5,-8.263,0.057,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Tiger,124,Panthera tigris,Carnivores,162.56,Carn,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,99,99,0,1.56,0,5.373,n/100km2,5,-8.263,0.092,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Sambar,163,Rusa unicolor,Cetartiodactyla,177.52,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,5.54,0,3.114,n 100-m segments with signs/km,1,-8.263,0.136,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Malayan tapir,188,Tapirus indicus,Perissodactyla,296.25,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,2.62,0,0.662,n 100-m segments with signs/km,1,-8.263,0.114,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Malayan tapir,188,Tapirus indicus,Perissodactyla,296.25,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,2.62,0,0.662,n 100-m segments with signs/km,2,-8.263,0.114,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Malayan tapir,188,Tapirus indicus,Perissodactyla,296.25,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,2.62,0,0.662,n 100-m segments with signs/km,3,-8.263,0.114,Tropical forest,4.73,574
"Vinitpornsawan, 2013",47,Mammals,Malayan tapir,188,Tapirus indicus,Perissodactyla,296.25,Herb,SC,Asia,Thailand,98.762,15.505,Yes,Settlement,10,10,0,2.62,0,0.662,n 100-m segments with signs/km,4,-8.263,0.114,Tropical forest,4.73,574
"Wang et al., 2007",90,Mammals,Putty-nosed monkey,48,Cercopithecus nictitans,Primates,5.8,Frug,SC,Africa,Cameroon,12.867,3.533,No,Settlement,10,11,0,1.14,0,0.776,n/km,2.9,-8.263,0.155,Tropical forest,4.51,237
"Wang et al., 2007",90,Mammals,Guereza,57,Colobus guereza,Primates,10.6,Herb,SC,Africa,Cameroon,12.867,3.533,No,Settlement,10,11,0,0.327,0,0.672,n/km,2.9,-8.263,0.283,Tropical forest,4.51,237
"Wang et al., 2007",90,Mammals,Chimpanzee,121,Pan troglodytes,Primates,42.5,Frug,SC,Africa,Cameroon,12.867,3.533,No,Settlement,10,11,0,0.07,0,0.2,n/km,2.9,-8.263,0.237,Tropical forest,4.51,237
"Wilkie et al., 1990",24,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,S,Africa,D.R. Congo,28.824,2.174,No,Road & Settlement,61,62,0,0.02,0,0.141,tracks/station,1.5,-8.263,0.041,Tropical forest,3.54,214
"Wilkie et al., 1990",24,Mammals,Okapi,118,Okapia johnstoni,Cetartiodactyla,230,Herb,S,Africa,D.R. Congo,28.824,2.174,No,Road & Settlement,61,62,0,0.74,0,0.86,tracks/station,1.5,-8.263,0.036,Tropical forest,3.54,214
"Wilkie et al., 1990",24,Mammals,Giant Ground Pangolin,178,Smutsia gigantea,Pholidota,32.99,Inver,S,Africa,D.R. Congo,28.824,2.174,No,Road & Settlement,61,62,0,0.03,0,0.173,tracks/station,1.5,-8.263,0.042,Tropical forest,3.54,214
"Wilkie et al., 1990",24,Mammals,Buffalo,184,Syncerus caffer,Cetartiodactyla,580,Herb,S,Africa,D.R. Congo,28.824,2.174,No,Road & Settlement,61,62,0,0.03,0,0.173,tracks/station,1.5,-8.263,0.042,Tropical forest,3.54,214
"Wright et al., 2000",100,Mammals,Red brocket deer and white-tailed deer,279,Mazama americana and Odocoileus virginianus,Cetartiodactyla,39.15,Herb,SC,C America,Panama,-79.702,9.101,No,Settlement,15,17,0,2.41,0,1.553,n/km,1.7,-8.263,0.096,Tropical forest,611.17,38
"Wright et al., 2000",100,Mammals,Red brocket deer and white-tailed deer,279,Mazama americana and Odocoileus virginianus,Cetartiodactyla,39.15,Herb,SC,C America,Panama,-79.611,9.073,Yes,Settlement,17,17,0,2.41,0,1.553,n/km,4,-8.263,0.088,Tropical forest,680.09,26
"Wright et al., 2000",100,Mammals,Collared peccary,129,Pecari tajacu,Cetartiodactyla,21.27,Herb,SC,C America,Panama,-79.611,9.073,Yes,Settlement,17,17,0,6.838,0,2.615,n/km2,4,-8.263,0.069,Tropical forest,680.09,26
"Wright et al., 2000",100,Mammals,Northern tamandua,186,Tamandua mexicana,Pilosa,4.21,Inver,SC,C America,Panama,-79.611,9.073,Yes,Settlement,17,17,0,3.324,0,1.823,n/km2,4,-8.263,0.081,Tropical forest,680.09,26
"Wright et al., 2000",100,Mammals,Northern tamandua,186,Tamandua mexicana,Pilosa,4.21,Inver,SC,C America,Panama,-79.65,9.09,Yes,Settlement,17,17,0,3.324,0,1.823,n/km2,5,-8.263,0.081,Tropical forest,680.09,26
"Yasuoka, 2006",160,Mammals,Yellow back duiker,41,Cephalophus silvicultor,Cetartiodactyla,72.5,Herb,S,Africa,Cameroon,14.63,2.707,Yes,Settlement,1,1,0,2,0,1.414,droppings/plot,13,-8.263,1.586,Tropical forest,2.972,1088
"Yasuoka, 2006",160,Mammals,Yellow back duiker,41,Cephalophus silvicultor,Cetartiodactyla,72.5,Herb,S,Africa,Cameroon,14.66,2.685,Yes,Settlement,1,1,0,2,0,1.414,droppings/plot,17,-8.263,1.586,Tropical forest,2.972,1275
"Yasuoka, 2006",160,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,S,Africa,Cameroon,14.63,2.707,Yes,Settlement,2,2,0,1.3,0,1.14,n/km2,13,-8.263,0.915,Tropical forest,2.972,1088
"Yasuoka, 2006",160,Mammals,Blue duiker,136,Philantomba monticola,Cetartiodactyla,4.9,Frug,S,Africa,Cameroon,14.63,2.707,Yes,Settlement,1,1,0,2,0,1.414,number of droppings/plot,13,-8.263,1.586,Tropical forest,2.972,1088
"Yasuoka, 2006",160,Mammals,Blue duiker,136,Philantomba monticola,Cetartiodactyla,4.9,Frug,S,Africa,Cameroon,14.696,2.645,Yes,Settlement,1,1,0,2,0,1.414,number of droppings/plot,22,-8.263,1.586,Tropical forest,2.972,1683
"Van Vliet and Nasi, 2008",12,Mammals,Yellow back duiker,41,Cephalophus silvicultor,Cetartiodactyla,72.5,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.015,0.022,0.003,0.009,n/plot,1.5,-0.392,0.001,Tropical forest,0.49,798
"Bowkett et al., 2008",130,Mammals,Abbott's duiker,42,Cephalophus spadix,Cetartiodactyla,56,Herb,SC,Africa,Tanzania,36.491,-7.991,Yes,Road & Settlement,5,2,0.002,0.048,0.004,0.047,n phots/trap day,7.37,-3.168,1.449,Montane forest,16.97,685
"Van Vliet and Nasi, 2008",12,Mammals,Red duikers,36,"Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi",Cetartiodactyla,17.07,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.075,0.093,0.004,0.026,n/plot,8.5,-0.223,0.001,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Small diurnal monkeys,46,"Cercopithecus cephus, C. nictitans, C. pogonias and Lophocebus albigena",Primates,4.92,Frug,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.027,0.026,0.004,0.012,n/plot,1.5,0.038,0.001,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Yellow back duiker,41,Cephalophus silvicultor,Cetartiodactyla,72.5,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.012,0.022,0.005,0.009,n/plot,5,-0.657,0.002,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Yellow back duiker,41,Cephalophus silvicultor,Cetartiodactyla,72.5,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.005,0.022,0.005,0.009,n/plot,8.5,-1.551,0.008,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.073,0.071,0.005,0.021,n/plot,1.5,0.025,0.001,Tropical forest,0.49,798
"Cullen Jr. et al., 2000; 2001",117,Birds,Tinamous,67,Crypturellus spp.,Tinamiformes,0.4,Frug,S,S America,Brazil,-49.894,-22.841,No,Settlement,6,6,0.006,1.943,0.006,0.371,n/10 km,2.5,-5.462,0.173,Atlantic deciduous forest,31.98,12
"Van Vliet and Nasi, 2008",12,Mammals,Blue duiker,136,Philantomba monticola,Cetartiodactyla,4.9,Frug,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.018,0.027,0.006,0.009,n/plot,1.5,-0.429,0.001,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Blue duiker,136,Philantomba monticola,Cetartiodactyla,4.9,Frug,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.021,0.027,0.007,0.009,n/plot,5,-0.282,0.001,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Blue duiker,136,Philantomba monticola,Cetartiodactyla,4.9,Frug,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.033,0.027,0.007,0.009,n/plot,8.5,0.194,0.001,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Red duikers,36,"Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi",Cetartiodactyla,17.07,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.029,0.093,0.008,0.026,n/plot,1.5,-1.158,0.001,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.084,0.071,0.008,0.021,n/plot,8.5,0.166,0.001,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Small diurnal monkeys,46,"Cercopithecus cephus, C. nictitans, C. pogonias and Lophocebus albigena",Primates,4.92,Frug,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.045,0.026,0.009,0.012,n/plot,5,0.537,0.002,Tropical forest,0.49,798
"Bowkett et al., 2008",33,Mammals,Abbott's duiker,42,Cephalophus spadix,Cetartiodactyla,56,Herb,SC,Africa,Tanzania,36.873,-7.796,Yes,Road & Settlement,6,4,0.006,0.003,0.01,0.006,n phots/trap day,1.95,0.629,1.405,Montane forest,16.97,270
"Bowkett et al., 2008",130,Mammals,Abbott's duiker,42,Cephalophus spadix,Cetartiodactyla,56,Herb,SC,Africa,Tanzania,36.491,-7.991,Yes,Road & Settlement,2,2,0.008,0.048,0.011,0.047,n phots/trap day,8.45,-1.799,1.486,Montane forest,16.97,685
"Hayward, 2009",41,Mammals,White rhinoceros,43,Ceratotherium simum,Perissodactyla,2949.99,Herb,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,12,4,0.003,0.263,0.012,0.378,n/100m,0.75,-4.358,1.529,Subtropical forest,7.71,315
"Hayward, 2009",41,Mammals,Cape genet,81,Genetta tigrina,Carnivores,2.23,Carn,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,12,4,0.003,0.105,0.012,0.21,n/100m,0.75,-3.453,2.013,Subtropical forest,7.71,315
"Van Vliet and Nasi, 2008",12,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.064,0.071,0.012,0.021,n/plot,5,-0.114,0.001,Tropical forest,0.49,798
"Hayward, 2009",40,Mammals,Burchell's zebra,78,Equus quagga,Cetartiodactyla,400,Herb,SC,Africa,South Africa,28.914,-32.22,Yes,Settlement,4,9,0.007,0.769,0.015,1.151,n/100m,0.25,-4.631,1.249,Subtropical forest,0,228
"Noss, 2000b",141,Mammals,South american tapir,189,Tapirus terrestris,Perissodactyla,207.5,Herb,S,S America,Bolivia,-62.486,-19.427,No,Settlement,66,92,0.01,0.11,0.015,0.052,n/km2,8.24,-2.395,0.036,Xerophilous forest,0.89,480
"Van Vliet and Nasi, 2008",12,Mammals,Small diurnal monkeys,46,"Cercopithecus cephus, C. nictitans, C. pogonias and Lophocebus albigena",Primates,4.92,Frug,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.043,0.026,0.015,0.012,n/plot,8.5,0.485,0.002,Tropical forest,0.49,798
"Van Vliet and Nasi, 2008",12,Mammals,Red duikers,36,"Cephalophus callipygus, C. dorsalis, C. leucogaster, C. nigrifrons and C. ogilbyi",Cetartiodactyla,17.07,Herb,SC,Africa,Gabon,10.094,-1.985,No,Road,159,159,0.036,0.093,0.016,0.026,n/plot,5,-0.958,0.002,Tropical forest,0.49,798
"Cabassu, 2010",56,Mammals,Giant anteater,109,Myrmecophaga tridactyla,Pilosa,22.33,Inver,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0.018,0.038,0.018,0.195,n/km,5,-0.75,2.54,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,White lipped peccary (groups),190,Tayassu pecari,Cetartiodactyla,32.23,Frug,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0.018,0.091,0.018,0.302,n/km,5,-1.624,1.143,Tropical forest,0.73,1485
"Hill et al., 1997",2,Mammals,South American red and gray brocket deer,101,Mazama americana and M. gouazoubira,Cetartiodactyla,18.59,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.006,0.009,0.019,0.03,n/200m,7.5,-0.456,0.241,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Azara's capuchin,174,Sapajus cay,Primates,2.5,Omn,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.002,0.009,0.019,0.032,n/200m,4.5,-1.554,1.177,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Azara's capuchin,174,Sapajus cay,Primates,2.5,Omn,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.002,0.009,0.019,0.032,n/200m,7.5,-1.321,0.795,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Azara's capuchin,174,Sapajus cay,Primates,2.5,Omn,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.003,0.009,0.019,0.032,n/200m,16.5,-1.132,0.583,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Lowland tapir,189,Tapirus terrestris,Perissodactyla,207.5,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.006,0.016,0.019,0.042,n/200m,7.5,-0.916,0.173,Tropical forest,8.67,1270
"Hayward, 2009",41,Mammals,Eland,197,Tragelaphus oryx,Cetartiodactyla,569.99,Herb,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,12,4,0.006,0.063,0.02,0.125,n/100m,0.75,-2.392,1.995,Subtropical forest,7.71,315
"Hill et al., 1997",2,Mammals,Azara's capuchin,174,Sapajus cay,Primates,2.5,Omn,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.006,0.009,0.022,0.032,n/200m,13.5,-0.456,0.299,Tropical forest,8.67,1270
"Bowkett et al., 2008",130,Mammals,Harvey?s duiker,38,Cephalophus harveyi,Cetartiodactyla,14.5,Herb,SC,Africa,Tanzania,36.491,-7.991,Yes,Road & Settlement,3,2,0.265,0.225,0.023,0.074,n phots/trap day,5.2,0.163,0.056,Montane forest,16.97,685
"Hill et al., 1997",2,Mammals,South American red and gray brocket deer,101,Mazama americana and M. gouazoubira,Cetartiodactyla,18.59,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.004,0.009,0.024,0.03,n/200m,10.5,-0.81,0.524,Tropical forest,8.67,1270
"Hurtado-Gonzales and Bodmer, 2004",16,Mammals,Grey brocket deer,103,Mazama gouazoubira,Cetartiodactyla,16.63,Omn,S,S America,Peru,-72.691,-4.586,Yes,Settlement,9,9,0.098,0.18,0.024,0.18,n/km2,37.5,-0.609,0.118,Tropical forest,0.42,3033
"Hill et al., 1997",2,Mammals,Azara's capuchin,174,Sapajus cay,Primates,2.5,Omn,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.008,0.009,0.028,0.032,n/200m,10.5,-0.169,0.283,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,South American red and gray brocket deer,101,Mazama americana and M. gouazoubira,Cetartiodactyla,18.59,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.009,0.009,0.029,0.03,n/200m,13.5,-0.045,0.245,Tropical forest,8.67,1270
"Bowkett et al., 2008",130,Mammals,Harvey?s duiker,38,Cephalophus harveyi,Cetartiodactyla,14.5,Herb,SC,Africa,Tanzania,36.491,-7.991,Yes,Road & Settlement,2,2,0.259,0.225,0.03,0.074,n phots/trap day,8.45,0.139,0.06,Montane forest,16.97,685
"Hayward, 2009",41,Mammals,Vervet monkey,53,Chlorocebus aethiops,Primates,4.16,Omn,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,12,4,0.009,0.019,0.03,0.037,n/100m,0.75,-0.777,2.011,Subtropical forest,7.71,315
"Hill et al., 1997",2,Mammals,South American red and gray brocket deer,101,Mazama americana and M. gouazoubira,Cetartiodactyla,18.59,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.01,0.009,0.031,0.03,n/200m,4.5,0.075,0.233,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Lowland tapir,189,Tapirus terrestris,Perissodactyla,207.5,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.011,0.016,0.032,0.042,n/200m,13.5,-0.365,0.164,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Lowland tapir,189,Tapirus terrestris,Perissodactyla,207.5,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.012,0.016,0.032,0.042,n/200m,16.5,-0.287,0.151,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Lowland tapir,189,Tapirus terrestris,Perissodactyla,207.5,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.011,0.016,0.035,0.042,n/200m,10.5,-0.339,0.177,Tropical forest,8.67,1270
"Cabassu, 2010",56,Mammals,Red brocket deer,100,Mazama americana,Cetartiodactyla,22.8,Herb,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0.036,0.167,0.036,0.408,n/km,5,-1.54,0.688,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Puma,158,Puma concolor,Carnivores,51.6,Carn,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0.036,0.174,0.036,0.417,n/km,5,-1.584,0.665,Tropical forest,0.73,1485
"Cullen Jr. et al., 2000; 2001",116,Mammals,Guianan Squirrel,219,Sciurus aestuans,Rodentia,0.19,Frug,S,S America,Brazil,-52.467,-22.479,No,Settlement,6,6,0.02,0.12,0.036,0.06,n/10 km,2.5,-1.79,0.582,Atlantic deciduous forest,18.45,154
"Hayward, 2009",41,Mammals,Vervet monkey,53,Chlorocebus aethiops,Primates,4.16,Omn,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,15,4,0.01,0.019,0.037,0.037,n/100m,1.25,-0.656,2.006,Subtropical forest,7.71,315
"Hill et al., 1997",2,Mammals,Lowland tapir,189,Tapirus terrestris,Perissodactyla,207.5,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.014,0.016,0.038,0.042,n/200m,4.5,-0.14,0.155,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Lowland tapir,189,Tapirus terrestris,Perissodactyla,207.5,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.004,0.016,0.04,0.042,n/200m,1.5,-1.385,1.179,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,South American red and gray brocket deer,101,Mazama americana and M. gouazoubira,Cetartiodactyla,18.59,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.015,0.009,0.041,0.03,n/200m,16.5,0.511,0.202,Tropical forest,8.67,1270
"Henschel et al., 2011; Henschel, 2008",42,Mammals,African golden cat,27,Caracal aurata,Carnivores,10.65,Carn,C,Africa,Gabon,12.423,-0.2,Yes,Settlement,1131,1164,0.002,0.004,0.045,0.063,n photos/100 trap day,16.5,-0.693,0.656,Tropical forest,0.85,899
"Hill et al., 1997",2,Mammals,South American red and gray brocket deer,101,Mazama americana and M. gouazoubira,Cetartiodactyla,18.59,Herb,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.007,0.009,0.045,0.03,n/200m,1.5,-0.251,0.578,Tropical forest,8.67,1270
"Hill et al., 1997",2,Mammals,Nine-banded Armadillo,75,Dasypus novemcinctus,Cingulata,4.2,Inver,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.037,0.058,0.047,0.08,n/200m,7.5,-0.449,0.039,Tropical forest,8.67,1270
"Hayward, 2009",41,Mammals,Blue wildebeest,60,Connochaetes taurinus,Cetartiodactyla,180,Herb,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,8,4,0.017,1.188,0.048,2.375,n/100m,0.25,-4.229,2.001,Subtropical forest,7.71,315
"Hill et al., 1997",2,Mammals,Nine-banded Armadillo,75,Dasypus novemcinctus,Cingulata,4.2,Inver,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.029,0.058,0.048,0.08,n/200m,16.5,-0.71,0.052,Tropical forest,8.67,1270
"Marshall et al., 2005",99,Mammals,Blue Monkey,275,Cercopithecus mitis,Primates,5,Frug,S,Africa,Tanzania,35.922,-8.098,Yes,Settlement,11,9,0.15,0.37,0.05,0.06,groups/km,2.5,-0.902,0.013,Montane forest,15.77,139
"Nunez-Iturri et al., 2007",84,Mammals,White-lipped peccary,190,Tayassu pecari,Cetartiodactyla,32.23,Frug,SC,S America,Peru,-70.917,-12.233,No,Settlement,158,175,0.1,0.7,0.05,0.2,groups/km2,5.5,-1.944,0.002,Tropical forest,0.29,482
"Hayward, 2009",41,Mammals,Cape genet,81,Genetta tigrina,Carnivores,2.23,Carn,SC,Africa,South Africa,28.848,-32.272,Yes,Settlement,4,4,0.025,0.105,0.051,0.21,n/100m,1.75,-1.423,1.997,Subtropical forest,7.71,315
"Hill et al., 1997",2,Mammals,Nine-banded Armadillo,75,Dasypus novemcinctus,Cingulata,4.2,Inver,S,S America,Paraguay,-55.448,-24.124,Yes,Settlement,91,91,0.031,0.058,0.053,0.08,n/200m,13.5,-0.613,0.052,Tropical forest,8.67,1270
"Cabassu, 2010",56,Mammals,Spotted paca,70,Cuniculus paca,Rodentia,8.17,Omn,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0.054,0.409,0.054,0.64,n/km,5,-2.03,0.365,Tropical forest,0.73,1485
"Hayward, 2009",40,Mammals,Cape genet,81,Genetta tigrina,Carnivores,2.23,Carn,SC,Africa,South Africa,28.914,-32.22,Yes,Settlement,4,9,0.027,0.014,0.054,0.042,n/100m,0.25,0.66,2,Subtropical forest,0,228
"Hayward, 2009",40,Mammals,Common duiker,183,Sylvicapra grimmia,Cetartiodactyla,19.5,Herb,SC,Africa,South Africa,28.914,-32.22,Yes,Settlement,4,9,0.027,0.237,0.054,0.38,n/100m,0.25,-2.173,1.286,Subtropical forest,0,228
"Henschel et al., 2011; Henschel, 2008",42,Mammals,Red duikers,34,"Cephalophus callipygus, C. dorsalis and C. ogilby",Cetartiodactyla,15.5,Herb,C,Africa,Gabon,12.192,-1.249,No,Settlement,581,1164,0.003,0.144,0.055,0.38,n photos/100 trap day,7,-3.859,0.58,Tropical forest,2.4,577
